Code,Name,Market
HPX,Hai Phat Investment JSC,HOSE
NSC,Vietnam National Seed Group JSC,HOSE
QNP,Quy Nhon Port JSC,HOSE
TIX,Tan Binh Import Export JSC,HOSE
GHC,Gia Lai Hydropower JSC,HOSE
PAC,Dry Cell and Storage Battery JSC,HOSE
VDP,Vidipha Central Pharmaceutical JSC,HOSE
SMB,Sai Gon Mien Trung Beer JSC,HOSE
TCI,Thanh Cong Securities JSC,HOSE
CTI,Cuong Thuan Idico Development Investment Corp,HOSE
HRC,Hoa Binh Rubber JSC,HOSE
TIP,Tin Nghia Industrial Park Development JSC,HOSE
NHH,Hanoi Plastics JSC,HOSE
APG,APG Securities JSC,HOSE
CLL,Cat Lai Port JSC,HOSE
THG,Tien Giang Investment and Construction JSC,HOSE
FIT,F.I.T Group JSC,HOSE
CVT,CMC JSC,HOSE
EVG,Everland Group JSC,HOSE
TTE,Truong Thinh Energy Investment JSC,HOSE
ITC,Investment and Trading of Real Estate JSC,HOSE
CKG,CIC Group JSC,HOSE
SJD,Can Don Hydro Power JSC,HOSE
HAX,Hang Xanh Motors Service JSC,HOSE
TCL,Tan Cang Logistics and Stevedoring JSC,HOSE
TDC,Binh Duong Trade and Development JSC,HOSE
FDC,Foreign Trade Development and Investment Corp of Ho Chi Minh City,HOSE
NNC,Nui Nho Stone JSC,HOSE
SGR,Saigon Real Estate Group JSC,HOSE
TN1,Rox Key Holdings JSC,HOSE
VTO,Vietnam Tanker JSC,HOSE
HAP,Hapaco Group JSC,HOSE
D2D,Industrial Urban Development JSC No 2,HOSE
TVB,T-Cap Securities JSC,HOSE
ILB,ICD Tan Cang Long Binh JSC,HOSE
HVH,HVC Investment and Technology JSC,HOSE
PGC,Petrolimex Gas Corp JSC,HOSE
SMC,SMC Trading Investment JSC,HOSE
TTF,Truong Thanh Furniture Corp,HOSE
LSS,Lam Son Sugar Cane Joint Stock Corp,HOSE
GSP,International Gas Product Shipping JSC,HOSE
DHA,Hoa An JSC,HOSE
SBG,Siba High-Tech Mechanical Group JSC,HOSE
TEG,Truong Thanh Energy Group JSC,HOSE
ANT,An Giang Fruit Vegetables Foodstuff JSC,HOSE
CNG,Clean Natural Gas Vietnam JSC,HOSE
LDG,LDG Investment JSC,HOSE
GIL,BinhThanh Import Export Production and Trade JSC,HOSE
DC4,Dicera Holdings JSC,HOSE
VIP,Viet Nam Petroleum Transport JSC,HOSE
NVT,Ninh Van Bay Travel Real Estate JSC,HOSE
PDV,Phuong Dong Viet Shipping and Logistics Corp,HOSE
SFI,Sea & Air Freight International,HOSE
TLD,Thang Long Urban Development and Construction Investment JSC,HOSE
ACL,Cuulong Fish JSC,HOSE
DLG,Duc Long Gia Lai Group JSC,HOSE
CRC,Create Capital Vietnam JSC Ltd,HOSE
OGC,Ocean Group JSC,HOSE
TCO,Janus Group JSC,HOSE
VRC,Vrc Real Estate and Investment JSC,HOSE
DTL,Dai Thien Loc Corp,HOSE
TNC,Thong Nhat Rubber JSC,HOSE
TSA,Truong Son Investment and Construction JSC,HOSE
HTN,Hung Thinh Incons JSC,HOSE
ABT,Bentre Aquaproduct Import and Export JSC,HOSE
VNG,Thanh Thanh Cong Tourist JSC,HOSE
KHP,Khanh Hoa Power JSC,HOSE
ADS,Damsan JSC,HOSE
BTT,Ben Thanh Trading & Service JSC,HOSE
NHA,Ha Noi South Housing and Urban Development Corp,HOSE
DAT,Travel Investment and Seafood Development Corp,HOSE
MCP,Mychau Printing and Packaging Corp,HOSE
ICT,JSC for Telecoms and Informatics,HOSE
ADP,A Dong Paint JSC,HOSE
VNS,Vietnam Sun Corp,HOSE
SKG,Superdong Fast Ferry Kien Giang JSC,HOSE
TYA,Taya Vietnam Electric Wire and Cable JSC,HOSE
ACC,ACC Binh Duong Investment and Construction JSC,HOSE
SFG,Southern Fertilizer JSC,HOSE
CLW,Cho Lon Water Supply JSC,HOSE
CMX,Camimex Group JSC,HOSE
UIC,Idico Urban and House Development Investment Joint-Stock Co,HOSE
