Code,Name,Market
6481,THK Co Ltd,TSE
8952,Japan Real Estate Investment Corp,TSE
2267,Yakult Honsha Co Ltd,TSE
4005,Sumitomo Chemical Co Ltd,TSE
5344,MARUWA Co Ltd,TSE
1911,Sumitomo Forestry Co Ltd,TSE
2897,Nissin Foods Holdings Co Ltd,TSE
5929,Sanwa Holdings Corp,TSE
1808,Haseko Corp,TSE
4704,Trend Micro Inc,TSE
6965,Hamamatsu Photonics KK,TSE
9023,Tokyo Metro Co Ltd,TSE
6787,Meiko Electronics Co Ltd,TSE
8953,Japan Metropolitan Fund Investment Corp,TSE
4324,Dentsu Group Inc,TSE
2501,Sapporo Holdings Ltd,TSE
7752,Ricoh Co Ltd,TSE
8377,Hokuhoku Financial Group Inc,TSE
7729,Tokyo Seimitsu Co Ltd,TSE
9508,Kyushu Electric Power Co Inc,TSE
7276,Koito Manufacturing Co Ltd,TSE
6323,Rorze Corp,TSE
8233,Takashimaya Co Ltd,TSE
6465,Hoshizaki Corp,TSE
6134,Fuji Corp (Aichi),TSE
8341,77 Bank Ltd,TSE
9412,SKY Perfect JSAT Corp (Tokyo),TSE
2579,Coca-Cola Bottlers Japan Holdings Inc,TSE
5444,Yamato Kogyo Co Ltd,TSE
9501,Tokyo Electric Power Company Holdings Inc,TSE
5393,Nichias Corp,TSE
3038,Kobe Bussan Co Ltd,TSE
543A,Archion Corp,TSE
5406,Kobe Steel Ltd,TSE
5076,Infroneer Holdings Inc,TSE
9072,Nikkon Holdings Co Ltd,TSE
8060,Canon Marketing Japan Inc,TSE
8227,Shimamura Co Ltd,TSE
3283,Nippon Prologis REIT Inc,TSE
6368,Organo Corp,TSE
4980,Dexerials Corp,TSE
3861,Oji Holdings Corp,TSE
2212,Yamazaki Baking Co Ltd,TSE
3626,TIS Inc,TSE
7731,Nikon Corp,TSE
9404,Nippon Television Holdings Inc,TSE
3462,Nomura Real Estate Master Fund Inc,TSE
8572,Acom Co Ltd,TSE
2670,ABC-Mart Inc,TSE
3769,GMO Payment Gateway Inc,TSE
1969,Takasago Thermal Engineering Co Ltd,TSE
4536,Santen Pharmaceutical Co Ltd,TSE
8804,Tokyo Tatemono Co Ltd,TSE
4751,CyberAgent Inc,TSE
