Code,Name,Market
00151,Want Want China Holdings Ltd,HKEX
01258,China Nonferrous Mining Corp Ltd,HKEX
06969,Smoore International Holdings Ltd,HKEX
01530,3SBio Inc,HKEX
00358,Jiangxi Copper Co Ltd Class H,HKEX
00960,Longfor Group Holdings Ltd,HKEX
00247,Tsim Sha Tsui Properties Ltd,HKEX
03931,CALB Group Co Ltd Class H,HKEX
00008,PCCW Ltd,HKEX
01898,China Coal Energy Co Ltd Class H,HKEX
01339,People's Insurance Company Group of China Ltd Class H,HKEX
03323,China National Building Material Co Ltd Class H,HKEX
06963,Sunshine Insurance Group Co Ltd Class H,HKEX
02331,Li Ning Co Ltd,HKEX
06651,Beijing 51WORLD Digital Twin Technology Co Ltd Class H,HKEX
03908,China International Capital Corp Ltd Class H,HKEX
03317,Shenzhen Xunce Technology Co Ltd Class H,HKEX
03277,Gpixel Changchun Microelectronics Inc Class H,HKEX
03668,Yancoal Australia Ltd,HKEX
03986,GigaDevice Semiconductor Inc Class H,HKEX
02282,MGM China Holdings Ltd,HKEX
06818,China Everbright Bank Co Ltd Class H,HKEX
00868,Xinyi Glass Holdings Ltd,HKEX
00576,Zhejiang Expressway Co Ltd Class H,HKEX
03311,China State Construction International Holdings Ltd,HKEX
01729,Time Interconnect Technology Ltd,HKEX
00101,Hang Lung Properties Ltd,HKEX
01359,China Cinda Asset Management Co Ltd Class H,HKEX
01919,COSCO Shipping Holdings Co Ltd Class H,HKEX
01735,Central New Energy Holding Group Ltd,HKEX
00087,Swire Pacific Ltd Class B,HKEX
00659,CTF Services Ltd,HKEX
01879,Shanghai Xizhi Technology Co Ltd Class H,HKEX
02476,Victory Giant Technology (HuiZhou) Co Ltd Class H,HKEX
01828,FWD Group Holdings Ltd,HKEX
01133,Harbin Electric Co Ltd Class H,HKEX
00392,Beijing Enterprises Holdings Ltd,HKEX
01193,China Resources Gas Group Ltd,HKEX
02380,China Power International Development Ltd,HKEX
03939,Wanguo Gold Group Ltd,HKEX
00023,Bank of East Asia Ltd,HKEX
82331,Li Ning Co Ltd,HKEX
00189,Dongyue Group Ltd,HKEX
01776,GF Securities Co Ltd Class H,HKEX
00656,Fosun International Ltd,HKEX
06809,Montage Technology Co Ltd Class H,HKEX
02718,Mininglamp Technology,HKEX
01070,TCL Electronics Holdings Ltd,HKEX
03396,Legend Holdings Corp Class H,HKEX
00666,REPT BATTERO Energy Co Ltd Class H,HKEX
00425,Minth Group Ltd,HKEX
00384,China Gas Holdings Ltd,HKEX
02442,Easy Smart Group Holdings Ltd,HKEX
02696,Shanghai Henlius Biotech Inc Class H,HKEX
02228,XtalPi Holdings Ltd,HKEX
03606,Fuyao Glass Industry Group Co Ltd Class H,HKEX
07618,JINGDONG Industrials Inc,HKEX
02600,Aluminum Corporation of China Ltd Class H,HKEX
00168,Tsingtao Brewery Co Ltd Class H,HKEX
02689,Nine Dragons Paper (Holdings) Ltd,HKEX
03888,Kingsoft Corporation Ltd,HKEX
01816,CGN Power Co Ltd Class H,HKEX
00780,Tongcheng Travel Holdings Ltd,HKEX
00220,Uni-President China Holdings Ltd,HKEX
02723,Beijing DeepZero Technology Co Ltd Class H,HKEX
01882,Haitian International Holdings Ltd,HKEX
01585,Yadea Group Holdings Ltd,HKEX
01908,C&D International Investment Group Ltd,HKEX
02788,Chuangxin Industries Holdings Ltd,HKEX
02367,Giant Biogene Holding Co Ltd,HKEX
00257,China Everbright Environment Group Ltd,HKEX
06886,Huatai Securities Co Ltd Class H,HKEX
09896,MINISO Group Holding Ltd,HKEX
03320,China Resources Pharmaceutical Group Ltd,HKEX
00552,China Communications Services Corp Ltd Class H,HKEX
06810,Shanghai Sunmi Technology Co Ltd Class H,HKEX
06881,China Galaxy Securities Co Ltd Class H,HKEX
01548,Genscript Biotech Corp,HKEX
00683,Kerry Properties Ltd,HKEX
01128,Wynn Macau Ltd,HKEX
01318,Mao Geping Cosmetics Co Ltd Class H,HKEX
02526,Hangzhou Diagens Biotechnology Co Ltd Class H,HKEX
01988,China Minsheng Banking Corp Ltd Class H,HKEX
